integrated_code,integrated_name,주요전공명,전문교과 관련 교과목,취업률_전체,취업률_남,취업률_여
29,고고학과,"고고학사, 문헌고고학, 한국의 고분문화, 인류의 기원과 진화, 한국고대ᆞ선사문화","사회탐구 방법, 사회과제 연구, 한국 사회의 이해, 비교 문화, 지역 이해, 문화콘텐츠 산업 일반",56.9,57.2,56.6
30,고분자공학과,"고분자 가공, 고분자물성, 고분자화학, 고분자재료, 무기화학","심화수학IᆞII, 고급 수학IᆞII, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 과학과제연구, 공업일반, 공업 화학, 제조 화학, 화학 분석, 석유 화학 제품",71.6,73.9,68.0
33,공업디자인과,"환경디자인, 3D모델링, 제품디자인, 컴퓨터응용제도CAD, 인간공학","미술 이론, 미술사, 드로잉 미술 전공 실기, 디자인 일반, 시각디자인, 색체 관리",68.8,71.0,67.5
34,공업디자인학과,"디지털 드로잉, 산업 디자인사, 디지털 모델링, 산업기기 디자인, 산업디자인 프로세스","미술 이론, 미술사, 드로잉, 미술 전공 실기, 디자인 일반, 시각 디자인, 색채 관리",68.8,71.0,67.5
35,공업화학과,"공업화학실험, 정밀화학, 유기화학, 무기화학, 고분자화학","고급 화학, 화학 실험, 과학과제 연구, 융합과학 탐구, 정보과학, 심화수학I, 심화수학II, 고급 수학I, 고급수학II, 환경화학기초, 공업화학, 제조화학",71.6,73.9,68.0
37,공연예술과,"무대연기, 발레, 공연예술개론, 시창청음, 무대연출론","미술 이론, 미술사, 드로잉 미술 전공 실기, 디자인 일반, 시각디자인, 색체 관리",69.7,71.8,68.9
38,공예과,"공예디자인론, 소묘, 색채학, 렌더링, 평면구성","미술 이론, 미술사, 드로잉 미술 전공 실기, 디자인 일반, 시각디자인, 색체 관리",64.2,67.8,63.6
39,공예디자인학과,"공예제도와 CAD, 금속공예의 이해, 예술장신구, 금속공예의 이해, 공예디자인, 예술장신구","미술 이론, 미술사, 드로잉, 미술 전공 실기, 디자인 일반, 시각 디자인, 색채 관리",68.8,71.0,67.5
41,공예학과,"현대공예론, 조형원리, 도자공예조형, 공예재료학, 금속조형, 조형원리","미술 이론, 미술사, 드로잉, 미술 전공 실기, 디자인 일반, 시각 디자인, 색채 관리",64.2,67.8,63.6
45,관광경영과,"관광마케팅, 관광법규, 관광학원론, 경영학개론, 국제관광론","정보과학, 생태와 환경, 지역 이해, 비교 문화, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구, 커뮤니케이션, 비즈니스 영어, 마케팅과 광고, 빅데이터 분석",67.5,69.6,67.0
46,관광경영학과,"관광경제론, 관광법규, 호텔회계, 여가산업론, 관광자원론","정보과학, 생태와 환경, 지역 이해, 비교 문화, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구, 커뮤니케이션, 비즈니스 영어, 마케팅과 광고, 빅데이터 분석",70.0,71.1,69.7
48,관광통역과,"관광영어토론, 관광학원론, 관광서비스예절, 여행업경영론, 여행실무","심화 영어, 심화 영어 회화, 심화 영어 독해, 심화 영어 작문, 세계 문제와 미래 사회, 국제 관계와 국제기구, 사회과제 연구",46.6,52.2,42.9
50,광고기획과,"광고카피라이팅, 광고기획론, 인쇄광고제작, 광고원론, 영상광고제작","지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구, 마케팅과 광고, 커뮤니케이션, 인간발달, 시각디자인, 광고 콘텐츠 제작, 빅데이터 분석",68.0,70.4,65.9
51,광고디자인과,"편집디자인, 시각디자인, 인쇄매체광고, 광고디자인, 웹디자인","미술 이론, 미술사, 드로잉 미술 전공 실기, 디자인 일반, 시각디자인, 색체 관리",68.8,71.0,67.5
54,광고홍보학과,"광고기획관리론, 광고매체기획, 이벤트기획관리론, 국제광고론, 광고제작론","지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구, 마케팅과 광고, 커뮤니케이션, 인간발달, 시각디자인, 광고 콘텐츠 제작, 빅데이터 분석",72.6,74.6,71.5
55,광학공학과,"분광학, 양자광학, 파동광학, 기하광학, 광공학","심화수학IᆞII, 고급 수학IᆞII, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 생태와 환경, 과학과제연구, 공업 일반, 냉동 공조 설계, 프로그래밍",77.8,77.6,78.0
56,교양과,"컴퓨터활용, 정보사회와 디지털문화, 예술의 이해와 감상, 전통사회와 생활문화, 문화비평과 미학","정보과학, 지역 이해, 비교 문화, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구, 기업과 경영, 정보처리와 관리, 커뮤니케이션, 정보통신, 빅데이터 분석",67.7,75.6,62.1
57,교육공학과,"교수설계모형, 교수학습이론, 교수설계, 교육통계 및 컴퓨터 데이터 분석, 교육공학","영상 제작의 이해, 사진 영상 편집, 정보통신 교과의 방송 제작 시스템 운영, 응용 프로그래밍 개발, 인쇄ᆞ출판ᆞ공예 교과의 디지털 이미지 재현",63.4,66.3,62.4
59,교육학과,"교육사회학, 교육철학, 교육사, 교육심리, 교육학개론","현대 세계의 변화, 사회 탐구 방법 또는 사회과제 연구, 복지 서비스의 기초",63.4,66.3,62.4
61,교통공학과,"교통안전공학, 교통운영, 교통과 도시개발, 교통조사, 교통계획론","심화수학IᆞII, 고급 수학IᆞII, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구, 생태와 환경, 지역이해, 사회과제 연구, 자동 제어 시스템 운영, 프로그래밍, 빅데이터 분석",77.2,77.7,75.0
68,국어교육과,"국어 정서법 교육, 국어과 교육론, 국어화법교육, 국문학개론, 국어학개론","현대 세계의 변화, 사회 탐구 방법 또는 사회과제 연구, 복지 서비스의 기초",45.4,51.3,42.7
69,국어국문학과,"한국 고전 문학 개론, 한국 고전 소설론, 한국 현대 문학 개론, 한국어 문법의 이해, 한국어 음운론","현대 문학 감상, 고전 문학 감상, 문예 창작 입문, 문학 개론, 문학과 매체, 시 창작, 소설 창작, 극 창작",57.5,56.8,57.8
70,국제통상학과,"국제경영학, 국제무역론, 상사중재론, 국제통상교섭론, 무역상무론","정보과학, 국제 정치, 국제 경제, 국제법, 지역 이해, 비교 문화, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구, 커뮤니케이션, 국제 상무, 기업과 경영, 비즈니스 영어",64.6,67.3,61.8
72,무역학과,"무역정책론, 무역영어, 국제마케팅, 국제금융론, 무역법규론","심화 수학I, 정보과학, 국제 경제, 국제법, 지역 이해, 세계 문제와 미래 사회, 국제 관계와 국제기구, 사회 탐구 방법 및 사회과제 연구, 상업경제, 유통 일반, 국제 상무, 비즈니스 영어, 커뮤니케이션, 무역 금융 업무, 전자 상거래 일반, 수출입 관리, 원산지 관리",64.6,67.3,61.8
74,국제문화정보학과,"비교문화론, 국제문화의 이해, 현대사회의 문화와 인간, 미국의 문화와 사회, 문화의 이해","국제 정치, 국제 경제, 국제법, 지역 이해, 비교 문화, 세계 문제와 미래 사회, 국제 관계와 국제기구, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구, 커뮤니케이션, 비즈니스 영어",59.1,61.0,58.0
77,금속공예과,"귀금속가공학, 귀금속세공실무, 색채학, 주얼리디자인, 보석감정","미술 이론, 미술사, 드로잉 미술 전공 실기, 디자인 일반, 시각디자인, 색체 관리",64.2,67.8,63.6
78,금속공예학과,"공예조형, 금속공예의 이해, 금속공예사, 랜더링, 유리공예, 공예경영","미술 이론, 미술사, 드로잉, 미술 전공 실기, 디자인 일반, 시각 디자인, 색채 관리",64.2,67.8,63.6
79,금속공학과,"금속가공학, 금속전기화학, 제련공학원리, 금속열역학, 금속물리화학","심화수학IᆞII, 고급 수학IᆞII, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보 과학, 융합과학탐구, 과학과제연구, 공업 일반, 기계 제도, 기계 일반, 기계 제어 설계",72.5,75.3,60.9
82,금융경영과,"금융기관론, 경영학개론, 금융시장론, 재무관리, 서비스마케팅","심화 수학I, 정보과학, 국제 경제, 국제법, 지역 이해, 세계 문제와 미래 사회, 국제 관계와 국제기구, 사회 탐구 방법 및 사회과제 연구, 회계 원리, 세무 일반, 금융 일반, 보험 일반, 예산ᆞ자금, 무역 금융 업무",61.5,58.3,63.0
83,금융보험학과,"금융법규론, 금융시장론, 보험경영론, 위험관리론, 보험계약법","심화 수학I, 정보과학, 국제 경제, 국제법, 지역 이해, 세계 문제와 미래 사회, 국제 관계와 국제기구, 사회 탐구 방법 및 사회과제 연구, 회계 원리, 세무 일반, 금융 일반, 보험 일반, 예산ᆞ자금, 무역 금융 업무",63.1,64.7,61.8
85,금형설계과,"금속재료, 사출금형기초, 프레스금형기초, CAM프로그래밍(Computer Aided Manufacturing Programming), CAD 프로그램","심화수학IᆞII, 고급 수학IᆞII, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구, 공업 일반, 기계 제도, 기계 일반, 기계 제어 설계",77.0,77.3,70.7
86,기계공학과,"기계공작법, 기계공학실험, 열역학, 재료역학, 유체역학","심화수학IᆞII, 고급 수학IᆞII, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보 과학, 융합과학탐구, 과학과제연구, 공업 일반, 기계 제도, 기계 일반, 기계 제어 설계",72.5,73.0,68.5
87,기계과,"기계설계, 기계재료, 기계제도, 공업역학, 열역학","심화수학IᆞII, 고급 수학IᆞII, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구, 공업 일반, 기계 제도, 기계 일반, 기계 제어 설계",77.0,77.3,70.7
88,기계설계공학과,"기계요소설계, CAD, 계측공학, 고체역학, 자동제어","심화수학IᆞII, 고급 수학IᆞII, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보 과학, 융합과학탐구, 과학과제연구, 공업 일반, 기계 제도, 기계 일반, 기계 제어 설계",72.5,73.0,68.5
89,기계설계과,"재료역학, 구조역학, 기계설계, CAD, IT부품설계","심화수학IᆞII, 고급 수학IᆞII, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구, 공업 일반, 기계 제도, 기계 일반, 기계 제어 설계",77.0,77.3,70.7
93,기독교학과,"복음서연구, 신학입문, 종교학, 종교사, 영성훈련","지역 이해, 비교 문화, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구, 빅데이터 분석",55.9,57.2,54.8
94,기악과,"관악합주, 피아노교수법, 앙상블, 서양음악사, 실내악, 반주법","음악이론, 음악사, 시창ᆞ청음, 음악 전공 실기, 음악 콘텐츠 제작",56.2,58.2,55.7
96,나노공학과,"나노공학개론, 나노소재응용, 나노재료물성학, 나노과학, 나노융합기술","심화수학IᆞII, 고급 수학IᆞII, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 고급 생명과학, 생명과학 실험,정보과학, 생태와 환경, 과학과제 연구, 공업 일반, 화학 분석, 프로그래밍, 자료 구조",72.6,74.7,67.8
102,노인보건복지과,"노인복지론, 사회복지개론, 케어복지개론, 사회복지현장실습, 가족복지론","지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구, 사무 행정, 인간 발달, 아동 복지, 복지 서비스의 기초, 대인 복지 서비스",69.1,71.2,68.2
103,노인복지학과,"노인복지론, 노인상담심리, 노인복지현장실습, 프로그램개발과 평가, 노년학","지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구, 사무 행정, 인간 발달, 아동 복지, 복지 서비스의 기초, 대인 복지 서비스",64.9,65.1,64.9
104,농공학과,"농업토목, 지반공학, 농지공학 및 설계, 지하수학, 구조역학","고급 생명과학, 생명과학 실험, 과학과제연구, 융합과학 탐구, 생태와 환경, 정보과학, 사회탐구 방법, 생명공학 기술, 인간과 환경",68.9,70.4,66.2
106,농수산과,"농업생산과학, 수산학개론, 양식기계 및 실습, 수산양식경영, 과수유통, 재배원론","고급 생명과학, 생명과학 실험, 물리화학 실험, 융합과학 탐구, 과학 과제 연구, 생태와 환경, 정보과학, 임산 가공, 제조화학, 생명공학 기술, 산림 자원",77.6,80.2,71.6
107,농업경제학과,"농산물 유통론, 농업경영학, 농업경제학, 농업발전론, 농촌조사방법론","사회탐구 방법, 사회과제 연구, 한국사회의 이해, 국제경제, 심화수학I, 심화수학II, 고급수학I, 고급수학II, 과학과제 연구, 정보과학, 농업 경영, 농산물 유통 관리, 농업 기초 기술, 관광 농업, 농산 식품 가공",62.4,63.1,61.6
111,대기과학과,"기후역학, 대기물리, 대기화학, 대기환경, 지구환경과 대기과학","고급 지구과학, 지구과학 실험, 과학과제 연구, 융합과학 탐구, 정보과학, 생태와 환경, 환경화학 기초, 환경측정 관리",62.3,69.0,52.5
114,댄스스포츠과,"기초무용, 댄스스포츠개론, 라틴댄스실습, 모던댄스실습, 생활체육지도자론","스포츠 개론, 체육 지도법, 체육 전공 실기 기초, 체육 전공 실기 심화, 체육 전공 실기 응용, 인체 구조와 기능, 간호의 기초",72.0,73.6,68.9
117,도시계획학과,"국토 및 지역계획, 도시 재개발, 도시계획관계 법규, 도시인구론, 도시설계지도","지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구, 공간정보융합서비스, 빅데이터 분석, 인간과 환경, 환경 보전",68.4,68.3,68.6
118,도시공학과,"도시계획, 도시설계, 도시 재개발, 도시교통계획, 도시공간구조론","심화수학IᆞII, 고급 수학IᆞII, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 고급 지구과학, 지구과학 실험, 정보과학, 융합과학탐구, 과학과제연구, 생태와 환경, 지역 이해, 사회과제 연구, 공간 정보,구축, 공간 정보 융합 서비스, 빅데이터 분석, 인간과 환경, 환경 보전",72.2,73.6,70.0
120,도자기공예과,"공예도자, 기초도자, 도자개론, 입체조형, 제품도자","미술 이론, 미술사, 드로잉 미술 전공 실기, 디자인 일반, 시각디자인, 색체 관리",64.2,67.8,63.6
121,도자기공예학과,"도자재료 및 기법, 유약 및 소성실험, 장식도자, 도조, 도자형태디자인","미술 이론, 미술사, 드로잉, 미술 전공 실기, 디자인 일반, 시각 디자인, 색채 관리",64.2,67.8,63.6
122,독어독문학과,"독문법특강, 독어발달사, 독일문학사, 번역연습, 생활독어회화","전공기초 독일어, 독일어 회화, 독일어권 문화, 국제 관계와 국제 기구, 국제 경제, 국제 정치, 지역 이해, 사회과제 연구",60.9,62.1,60.3
124,독일학과,"독일의 사회상, 독일의 사회와 문화, 독일의 정신문화, 독일의 정치문화, 유럽통합과 독일","국제 정치, 국제 경제, 국제법, 지역 이해, 비교 문화, 세계 문제와 미래 사회, 국제 관계와 국제기구, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구, 커뮤니케이션, 비즈니스 영어",59.1,61.0,58.0
126,동물자원학과,"영양학, 동물육종학, 동물생화학, 동물생리학, 동물생명과학","고급 생명과학, 생명과학 실험, 물리화학 실험, 융합과학 탐구, 정보과학, 과학과제 연구, 생명공학 기술, 동물 지원, 반려동물 관리, 실험동물과 기타 가축, 종축, 사료생산",65.0,68.3,60.4
127,기타아시아어학과,"중앙아시아학입문, 중앙아시아사, 중앙아시아어, 중앙아시아 정치이슈, 알타이 언어와 문화","전공기초 아시아어, 아시아어 회화, 아이사어 독해와 작문, 아시아 문화",67.0,66.5,67.3
128,동양화과,"문인화, 수묵화기법, 채색화기법, 동양미학, 동양화재료연구, 서예","미술 이론, 미술사, 드로잉 미술 전공 실기, 디자인 일반, 시각디자인, 색체 관리",61.3,64.0,60.7
131,유럽ᆞ기타어과,"러시아어문장론, 러시아어작문, 시청각러시아어, 실용 프랑스어 회화, 프랑스어ᆞ영어 문장비교","전공기초 프랑스어, 프랑스어 회화, 프랑스어권 문화, 국제 관계와 국제기구, 국제 경제, 국제 정치, 지역 이해. 사회과제 연구, 서양 조리",68.4,66.7,68.8
132,러시아어문학과,"러시아문학 배경론, 러시아문학비평론, 러시아문화의이해, 러시아어어원탐구, 러시아어음성학","전공기초 러시아어, 러시아어 회화, 러시아 문학, 러시아어 독해와 작문, 국제 관계와 국제기구, 국제 경제, 국제 정치, 지역 이해, 사회과제 연구, 서양 조리",61.8,66.1,59.3
134,러시아학과,"러시아국제관계, 러시아사회와 문화, 러시아어, 러시아역사, 러시아정치경제","국제 정치, 국제 경제, 국제법, 지역 이해, 비교 문화, 세계 문제와 미래 사회, 국제 관계와 국제기구, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구, 커뮤니케이션, 비즈니스 영어",59.1,61.0,58.0
135,레저스포츠과,"스포츠사회학, 운동생리학, 레저스포츠개론, 스포츠생리학, 스포츠심리학","스포츠 개론, 체육 지도법, 체육 전공 실기 기초, 체육 전공 실기 심화, 체육 전공 실기 응용, 인체 구조와 기능, 간호의 기초",72.0,73.6,68.9
140,레크리에이션과,"놀이지도, 레크리에이션원리, 유아활동지도, 레크관리론, 레크스포츠","스포츠 개론, 체육 지도법, 체육 전공 실기 기초, 체육 전공 실기 심화, 체육 전공 실기 응용, 인체 구조와 기능, 간호의 기초",72.0,73.6,68.9
143,마케팅경영과,"마케팅원론, 경영학원론, 마케팅관리, 마케팅조사, 유통관리","심화 수학I, 정보과학, 국제 경제, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구, 기업과 경영, 회계 정보 처리 시스템, 금융 일반, 마케팅과 광고, 창업 일반, 커뮤니케이션, 유통 관리",68.0,70.4,65.9
144,만화애니메이션학과,"만화기초, 애니메이션기초, 애니메이션제작기법, 시나리오연구, 단편만화창작, 3D컴퓨터모델링, 만화스토리텔링","미술 이론, 미술사, 드로잉, 미술 전공 실기, 디자인 일반, 시각 디자인, 색채 관리",67.9,65.3,68.9
148,멀티미디어과,"멀티미디어 개론, 컴퓨터그래픽, 프로그래밍언어, 모바일프로그래밍, UI/UX디자인","매체미술, 드로잉, 사진표현기법, 문학과 매체, 사회과제 연구, 영화 기술, 시나리오, 현대 세계의 변화, 미디어콘텐츠일반, 문화콘텐츠산업일반, 영상제작기초, 컴퓨터그래픽, 프로그래밍, 디지털 논리 회로, 디지털 이미지 재현",66.3,66.2,66.6
149,멀티미디어학과,"멀티미디어 개론, 멀티미디어 기획, 영상편집, 웹서버구축, 콘텐츠 편집기법","매체미술, 드로잉, 사진표현기법, 문학과 매체, 사회과제 연구, 영화 기술, 시나리오, 현대 세계의 변화, 미디어콘텐츠일반, 문화콘텐츠산업일반, 영상제작기초, 컴퓨터그래픽, 프로그래밍, 디지털 논리 회로, 디지털 이미지 재현",68.6,69.4,66.8
150,메이크업아티스트과,"뷰티색채, 기본메이크업, 기본피부 관리, 기본헤어커트, 특수 분장","미술 이론, 미술사, 드로잉 미술 전공 실기, 디자인 일반, 시각디자인, 색체 관리",69.5,71.5,69.3
151,메카트로닉스공학과,"공업역학, 기계구조해석 및 설계, 로보틱스, 센서공학, 제어공학","심화수학IᆞII, 고급 수학IᆞII, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구, 공업일반, 기계 제도, 기계 일반, 기계 제어 설계, 전자 회로, 산업용 전자 기기 소프트웨어 개발",75.4,76.2,68.7
152,메카트로닉스과,"컴퓨터구조개론, 로봇공학, 전자회로, 재료역학, 메카트로닉스개론","심화수학IᆞII, 고급 수학IᆞII, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구, 공업 일반, 기계 제도, 기계 일반, 기계 제어 설계, 전자 회로, 산업용 전자 기기 소프트웨어 개발",75.4,76.2,68.7
155,목조형가구학과,"가구재료연구, 공구기법과 조형, 목조형과 구조, 공예디자인사, 색채표현, 가구드로잉","미술 이론, 미술사, 드로잉, 미술 전공 실기, 디자인 일반, 시각 디자인, 색채 관리",64.2,67.8,63.6
158,무도학과,"경호론, 무도전공실기, 무도학개론, 운동처방론, 스포츠과학개론, 구급 및 안전관리","스포츠개론, 체육지도법, 체육 전공 실기 기초, 체육 전공 실기 심화, 체육 전공 실기 응용, 인체 구조와 기능, 간호의 기초",72.0,73.6,68.9
163,문예창작과,"문예사조, 소설창작실습, 소설창작특강, 시론특강, 편집실기","현대/고전문학 감상, 문예창작입문, 문학개론, 문학과 매체, 시/소설/극 창작, 미디어콘텐츠 일반, 커뮤니케이션, 마케팅과 광고, 영상제작 기초",61.1,67.4,60.0
164,문예창작학과,"문학 개론, 문학과 언어, 번역과 모국어, 한국 문학사, 현대 소설론","현대ᆞ고전 문학 감상, 문예 창작 입문, 문학 개론, 문학과 매체, 시ᆞ소설ᆞ극 창작, 미디어콘텐츠 일반, 커뮤니케이션, 마케팅과 광고, 영상 제작 기초",57.5,56.8,57.8
165,문헌정보과,"도서관정보센터경영, 문헌목록법, 문헌분류실습, 문헌정보학개론, 정보봉사론","사회탐구 방법, 사회과제 연구, 문학과 매체, 정보과학, 정보처리와 관리",56.3,54.3,56.7
166,문헌정보학과,"정부기록물관리, 도서관ᆞ정보센터경영, 독서 지도, 문헌보존법, 문헌정보학개론","사회탐구 방법, 사회과제 연구, 문학과 매체, 정보과학, 정보처리와 관리",58.8,56.6,59.8
167,문화관광과,"여행업실무, 관광마케팅, 관광법규, 관광학개론, 레저산업론, 관광사업론","정보과학, 생태와 환경, 지역 이해, 비교 문화, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구, 커뮤니케이션, 비즈니스 영어, 마케팅과 광고, 빅데이터 분석",67.5,69.6,67.0
169,문화재과,"문화유산해설, 문화재의 이해, 문화재조사법, 유물복원법, 유적 발굴조사법","사회탐구 방법, 사회과제 연구, 한국 사회의 이해, 비교 문화, 지역 이해, 문화콘텐츠 산업 일반",72.2,81.8,57.1
172,물류시스템공학과,"물류정보시스템, 물류정책론, 수송계획 및 실습, 물류영어, 국제운송론","심화수학IᆞII, 고급 수학IᆞII, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 고급 생명과학, 생명과학 실험, 고급 지구과학, 지구과학 실험, 정보과학, 융합과학탐구, 과학과제연구, 생태와 환경, 지역 이해, 사회과제 연구, 환경 화학 기초, 인간과 환경, 환경 생태 관리, 수질 관리, 대기 관리, 폐기물 관리",75.2,77.6,69.7
177,물리학과,"양자광학, 양자역학, 역학, 열물리학, 입자물리학","고급물리학, 물리학 실험, 과학과제 연구, 융합과학 탐구, 심화수학I, 심화수학II, 고급수학I, 고급수학II, 정보과학",66.3,66.4,66.2
178,뮤지컬과,"기초신체훈련, 기초연기, 뮤지컬개론, 뮤지컬연기, 무대제작실습","음악이론, 음악사, 시창ᆞ청음, 음악 전공 실기, 음악 콘텐츠 제작",69.0,70.7,67.8
179,미국학과,"미국경제론, 미국문화사, 미국사회구조론, 미국정부론, 미국학개론","국제 정치, 국제 경제, 국제법, 지역 이해, 비교 문화, 세계 문제와 미래 사회, 국제 관계와 국제기구, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구, 커뮤니케이션, 비즈니스 영어",59.1,61.0,58.0
181,미디어학과,"데이타베이스, 디지털미디어개론, 디지털영상연출, 방송콘텐츠기획, 미디어와 사회","지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구, 마케팅과 광고, 커뮤니케이션, 인간발달, 시각디자인, 미디어콘텐츠 일반, 빅데이터 분석",69.5,69.9,69.3
184,미술학과,"색채학, 수목화, 정밀묘사, 크로키, 조소","미술 이론, 미술사, 드로잉 미술 전공 실기, 디자인 일반, 시각디자인, 색체 관리",61.3,64.0,60.7
186,미용과,"염색과 탈색 이론 및 실습, 커트 이론 및 실습, 헤어디자인 이론 및 실습, 파마 이론 및 실습, 세트 드라이 이론 및 실습","미술 이론, 미술사, 드로잉 미술 전공 실기, 디자인 일반, 시각디자인, 색체 관리",69.5,71.5,69.3
190,바이오생명정보과,"동물세포배양 및 실험동물학, 분자세포생물학 및 실험, 생명공학 및 실험, 생명공학기기분석학, 바이오정보시스템","고급생명과학, 생명과학 실험, 과학과제 연구, 융합과학 탐구, 생태와 환경, 정보과학, 사회탐구 방법, 생명공학 기술, 인간과 환경",69.3,75.6,66.0
